174/11678;alpha: sc rollup arith (Reveal at threshold (block level zero));0.29143;0.035929;0.327462;193068;96396
175/11678;alpha: sc rollup arith (Reveal below threshold (block level zero));0.292544;0.032059;0.324706;193328;96396
176/11678;alpha: sc rollup arith (Reveal at threshold);0.296573;0.020038;0.316715;193104;96392
177/11678;alpha: sc rollup arith (Reveal above threshold);0.296823;0.024066;0.321009;192996;96396
178/11678;alpha: sc rollup arith (Invalid serialized reveal proof);0.294979;0.019931;0.315009;193196;96400
179/11678;alpha: sc rollup arith (Valid serialized reveal proof);0.283782;0.031975;0.31587;193108;96396
180/11678;alpha: saturation arithmetic (Addition);0.276857;0.040124;0.317085;193236;96292
181/11678;alpha: saturation arithmetic (Subtraction);0.299969;0.015998;0.316073;193236;96392
182/11678;alpha: saturation arithmetic (Multiplication);0.287845;0.027985;0.315941;193112;96140
183/11678;alpha: saturation arithmetic (Multiplication (fast version));0.294745;0.027881;0.322801;192944;96376
184/11678;alpha: saturation arithmetic (Shift left);0.279955;0.043992;0.324046;193364;96396
185/11678;alpha: saturation arithmetic (Scale fast);0.29999;0.023999;0.324095;193236;96140
186/11678;alpha: saturation arithmetic (Square root);0.293826;0.028175;0.322104;193104;96396
187/11678;alpha: saturation arithmetic (Conversion from Z);0.289534;0.03217;0.321807;193108;96396
188/11678;alpha: saturation arithmetic (Encoding through z);0.273191;0.044192;0.317488;193076;96384
189/11678;alpha: saturation arithmetic (Encoding through n);0.294559;0.027863;0.322527;192848;96260
190/11678;alpha: round (level_offset_of_round);0.302617;0.011945;0.314664;193108;96140
191/11678;alpha: round (Round_duration);0.290325;0.027839;0.318279;192976;96136
192/11678;alpha: round (round_of_timestamp);0.257227;0.060287;0.317632;193236;96396
193/11678;alpha: round (round_of_timestamp_perf);0.418658;0.023923;0.442687;193232;96396
194/11678;alpha: round (timestamp_of_round_perf);0.302758;0.015934;0.318802;193236;96396
195/11678;alpha: round (level offset too high error is triggered);0.302484;0.01592;0.318506;193112;96140
196/11678;alpha: round (round_of_ts (ts_of_round r) = r);0.289144;0.032127;0.321402;193204;96556
197/11678;alpha: round (ts_of_round (round_of_ts ts) <= ts);0.931663;0.031988;0.963748;192980;96136
198/11678;alpha: round (round_and_offset is correct);0.27982;0.039974;0.319952;193108;96160
199/11678;alpha: receipt (receipt - encoding);0.304645;0.020042;0.32481;193232;96252
200/11678;alpha: qty (tez-literals);0.298147;0.027827;0.326084;193108;96140
201/11678;alpha: qty (rnd-tez-literals);0.365143;0.028087;0.393327;193232;96136
202/11678;alpha: Operation_repr.ml (of_list: single element input list);0.304293;0.020019;0.324431;193072;96396
203/11678;alpha: Operation_repr.ml (of_list: multiple element input list);0.289645;0.032182;0.32193;192944;96184
204/11678;alpha: Operation_repr.ml (of_list: empty input list);0.289281;0.028124;0.317542;193236;96344
205/11678;alpha: Operation_repr.ml (protocol_data_encoding: only signature prefix);0.282592;0.039801;0.32257;193200;96108
206/11678;alpha: Operation_repr.ml (protocol_data_encoding: empty list);0.287192;0.03191;0.319245;192940;96140
207/11678;alpha: Operation_repr.ml (protocol_data_encoding: multiple signature prefix);0.281199;0.036154;0.317458;192988;96552
208/11678;alpha: Operation_repr.ml (protocol_data_encoding: signature prefix not final);0.270703;0.047771;0.318573;193328;96396
209/11678;alpha: Operation_repr.ml (protocol_data_encoding: multiple non manager);0.291248;0.027927;0.319286;192944;96396
210/11678;alpha: merkle list (compute);0.295958;0.023996;0.320055;193108;96140
211/11678;alpha: merkle list (snoc);0.28729;0.031921;0.319315;193236;96396
212/11678;alpha: merkle list (snoc_non_tr);0.2976;0.020108;0.317813;193108;96140
213/11678;alpha: merkle list (compute_path);0.295738;0.019982;0.315824;192980;96140
214/11678;alpha: merkle list (check_path);0.291461;0.027948;0.319519;192980;96140
215/11678;alpha: merkle list (path_encoding);0.292926;0.032101;0.325135;193112;96400
216/11678;alpha: merkle list (compute_path_negative_pos);0.289171;0.028113;0.317431;192976;96192
217/11678;alpha: merkle list (compute_path_out_of_bounds);0.285592;0.028157;0.313849;193112;96300
218/11678;alpha: merkle list (check_path_negative_pos);0.299101;0.023928;0.323188;192984;96232
219/11678;alpha: merkle list (check_path_out_of_bounds);0.294864;0.019923;0.31491;192980;96140
220/11678;alpha: merkle list (compute_path_out_of_bounds_full);0.281725;0.036221;0.31805;192984;96140
221/11678;alpha: merkle list (check_path_wrong_pos);0.2965;0.02404;0.320646;192976;96140
